STATE/UT,Crime head,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Total Male,Total Female,Grand Total
TAMIL NADU,2091,11,0,1004,20,703,47,262,22,21,1,2001,90,2091
TAMIL NADU,470,0,0,257,0,147,0,60,0,6,0,470,0,470
TAMIL NADU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,927,0,0,232,141,283,134,97,26,6,8,618,309,927
TAMIL NADU,40,0,0,2,0,16,0,20,0,2,0,40,0,40
TAMIL NADU,569,0,0,165,51,122,56,102,47,24,2,413,156,569
TAMIL NADU,10913,46,1,4149,577,2986,928,1341,592,210,83,8732,2181,10913
TOTAL (ALL-INDIA),31117,1305,11,17431,398,8685,404,2598,128,149,8,30168,949,31117
TOTAL (ALL-INDIA),49083,703,46,28387,912,13501,1022,3982,314,199,17,46772,2311,49083
TOTAL (ALL-INDIA),24418,43,30,9028,1481,6552,1964,3221,1422,543,134,19387,5031,24418
TOTAL (ALL-INDIA),197762,174,134,64798,12447,52546,18258,26740,14587,5553,2525,149811,47951,197762
TOTAL (ALL-INDIA),56827,682,3,30232,724,18296,849,5145,274,576,46,54931,1896,56827
TOTAL (ALL-INDIA),11109,237,1,6862,75,3043,74,737,22,52,6,10931,178,11109
TOTAL (ALL-INDIA),46,0,0,10,0,24,6,4,1,1,0,39,7,46
TOTAL (ALL-INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),8052,2,17,2468,1700,2005,1131,439,216,50,24,4964,3088,8052
TOTAL (ALL-INDIA),175,4,0,65,8,64,8,24,0,2,0,159,16,175
TOTAL (ALL-INDIA),15786,4,18,4730,944,4677,1319,2619,985,356,134,12386,3400,15786
TOTAL (STATES),30144,1240,10,16826,375,8463,383,2570,125,144,8,29243,901,30144
TOTAL (STATES),48523,691,45,28008,893,13388,1001,3977,306,197,17,46261,2262,48523
TOTAL (STATES),24101,40,30,8913,1464,6467,1927,3197,1397,535,131,19152,4949,24101
TOTAL (STATES),196627,174,134,64139,12439,52173,18233,26708,14566,5542,2519,148736,47891,196627
TOTAL (STATES),55805,666,3,29638,715,17967,839,5090,271,571,45,53932,1873,55805
TOTAL (STATES),10823,223,1,6658,75,2983,74,729,22,52,6,10645,178,10823
TOTAL (STATES),46,0,0,10,0,24,6,4,1,1,0,39,7,46
TOTAL (STATES),0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),7875,2,17,2431,1613,1986,1102,434,216,50,24,4903,2972,7875
TOTAL (STATES),175,4,0,65,8,64,8,24,0,2,0,159,16,175
TOTAL (STATES),15748,4,18,4719,942,4667,1317,2617,977,353,134,12360,3388,15748
TOTAL (STATES),389867,3044,258,161407,18524,108182,24890,45350,17881,7447,2884,325430,64437,389867
TOTAL (UTs),973,65,1,605,23,222,21,28,3,5,0,925,48,973
TOTAL (UTs),560,12,1,379,19,113,21,5,8,2,0,511,49,560
TOTAL (UTs),317,3,0,115,17,85,37,24,25,8,3,235,82,317
TOTAL (UTs),1135,0,0,659,8,373,25,32,21,11,6,1075,60,1135
TOTAL (UTs),1022,16,0,594,9,329,10,55,3,5,1,999,23,1022
TOTAL (UTs),286,14,0,204,0,60,0,8,0,0,0,286,0,286
TOTAL (UTs),0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),177,0,0,37,87,19,29,5,0,0,0,61,116,177
TOTAL (UTs),0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),38,0,0,11,2,10,2,2,8,3,0,26,12,38
TOTAL (UTs),4508,110,2,2604,165,1211,145,159,68,34,10,4118,390,4508
TRIPURA,202,23,0,120,0,54,0,4,1,0,0,201,1,202
TRIPURA,120,2,0,82,8,25,1,2,0,0,0,111,9,120
TRIPURA,87,0,0,25,4,44,9,1,2,2,0,72,15,87
TRIPURA,1147,1,16,353,94,401,112,105,37,25,3,885,262,1147
TRIPURA,375,1,0,200,2,140,1,31,0,0,0,372,3,375
TRIPURA,15,0,0,14,0,1,0,0,0,0,0,15,0,15
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,1946,27,16,794,108,665,123,143,40,27,3,1656,290,1946
UTTAR PRADESH,3593,123,0,2339,3,963,7,151,7,0,0,3576,17,3593
UTTAR PRADESH,20565,82,4,13105,217,5357,218,1511,37,34,0,20089,476,20565
UTTAR PRADESH,9884,9,3,4148,626,2434,568,1447,391,253,5,8291,1593,9884
UTTAR PRADESH,36115,5,6,16406,2330,9067,1707,4655,997,828,114,30961,5154,36115
UTTAR PRADESH,5143,13,0,3737,3,1295,9,86,0,0,0,5131,12,5143
UTTAR PRADESH,14,0,0,8,0,6,0,0,0,0,0,14,0,14
UTTAR PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,187,0,0,78,52,39,18,0,0,0,0,117,70,187
UTTAR PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2244,0,0,662,87,662,106,566,72,88,1,1978,266,2244
UTTAR PRADESH,77745,232,13,40483,3318,19823,2633,8416,1504,1203,120,70157,7588,77745
UTTARAKHAND,184,10,0,110,1,56,0,7,0,0,0,183,1,184
UTTARAKHAND,242,15,2,122,7,86,6,4,0,0,0,227,15,242
UTTARAKHAND,147,0,0,45,2,65,10,13,11,1,0,124,23,147
UTTARAKHAND,484,0,0,157,9,211,24,64,16,2,1,434,50,484
UTTARAKHAND,199,0,0,141,0,52,0,6,0,0,0,199,0,199
UTTARAKHAND,103,0,0,60,4,37,1,1,0,0,0,98,5,103
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,61,0,0,22,14,20,3,2,0,0,0,44,17,61
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,1420,25,2,657,37,527,44,97,27,3,1,1309,111,1420
WEST BENGAL,1963,89,0,1141,0,547,0,165,0,21,0,1963,0,1963
WEST BENGAL,3352,51,9,1496,101,1060,143,382,67,37,6,3026,326,3352
WEST BENGAL,1345,1,1,308,51,441,272,170,76,19,6,939,406,1345
WEST BENGAL,22911,21,8,5667,749,5084,3825,4058,3030,345,124,15175,7736,22911
WEST BENGAL,2879,29,0,1693,0,854,0,271,0,32,0,2879,0,2879
WEST BENGAL,617,8,0,243,0,229,0,134,0,3,0,617,0,617
WEST BENGAL,25,0,0,4,0,12,5,3,1,0,0,19,6,25
WEST BENGAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,455,0,4,117,67,171,51,33,12,0,0,321,134,455
WEST BENGAL,10,0,0,2,0,8,0,0,0,0,0,10,0,10
WEST BENGAL,466,0,0,142,13,188,32,53,38,0,0,383,83,466
WEST BENGAL,34023,199,22,10813,981,8594,4328,5269,3224,457,136,25332,8691,34023
